,GenBankAccession,Country,Host,CollectionDate,Serotype,Strain,Isolate,IsolationSource
762,MT602086,TZA,cattle,2012,SAT1,Unknown,TAN/27/2012,epithelium
763,MT602085,KEN,cattle,2013,SAT1,Unknown,KEN/10/2013,epithelium
764,MT602084,KEN,cattle,2018,O,Unknown,KEN/4/2018,epithelium
765,MT602083,ETH,cattle,2019,O,Unknown,ETH/9/2019,epithelium
766,MT602082,ETH,cattle,2016,O,Unknown,ETH/30/2016,epithelium
767,MT602081,ETH,cattle,2015,O,Unknown,ETH/4/2015,epithelium
768,MT602080,UGA,cattle,2019,A,Unknown,UGA/28/2019,probang
769,MT602079,SDN,cattle,2018,A,Unknown,SUD/9/2018,epithelium
770,MT602078,ETH,cattle,2019,A,Unknown,ETH/19/2019,epithelium
771,MT602077,ETH,cattle,2018,A,Unknown,ETH/2/2018,epithelium
772,MT863269,EGY,Unknown,2019,O,Unknown,O/inactivated vaccine/Egypt/2019,inactivated vaccine
773,MT863268,EGY,water-buffalo,2016,A,Unknown,A/buffalo/Damietta/Egypt/2016,Unknown
774,MN227144,IND,cattle,2011,A,Unknown,PD68/2011,Unknown
775,KY322680,VNM,cattle,2013,A,Unknown,VIT/42/2013,Unknown
776,KY322679,THA,cattle,2014,A,Unknown,TAI/4/2014,Unknown
777,KY322678,MYS,cattle,2013,A,Unknown,MAY/23/2013,Unknown
778,KY322677,MYS,cattle,2013,A,Unknown,MAY/20/2013,Unknown
779,KY322676,MYS,cattle,2013,A,Unknown,MAY/12/2013,Unknown
780,KY322675,LAO,cattle,2014,A,Unknown,LAO/3/2014,Unknown
781,KY322674,KOR,pig,2014,O,Unknown,SKR/6/2014,Unknown
782,KY322673,MYS,cattle,2014,O,Unknown,MAY/8/2014,Unknown
783,KY322672,MYS,cattle,2014,O,Unknown,MAY/3/2014,Unknown
784,KY322671,MYS,cattle,2014,O,Unknown,MAY/2/2014,Unknown
785,KY322670,LAO,cattle,2013,O,Unknown,LAO/1/2013,Unknown
786,MH791293,UGA,cattle,2017,O,Unknown,AMU_200,probang
787,MN983158,IND,cattle,2009,Unknown,Unknown,O/IND/47/2009,Unknown
788,MN983157,IND,cattle,2009,Unknown,Unknown,O/IND/35/2009,Unknown
789,MN983156,IND,cattle,2008,Unknown,Unknown,O/IND/433/2008,Unknown
790,MN983155,IND,cattle,2008,Unknown,Unknown,O/IND/290/2008,Unknown
791,MN983154,IND,cattle,2005,Unknown,Unknown,O/IND/442/2005,Unknown
792,MN983153,IND,cattle,2001,Unknown,Unknown,O/IND/121/2001,Unknown
793,MN983152,IND,cattle,1997,Unknown,Unknown,O/IND/316/1997,Unknown
794,MN953620,PAK,cattle,2019,O,Unknown,PAK/2/2019,Unknown
795,MN953619,PAK,cattle,2019,O,Unknown,PAK/1/2019,Unknown
796,MN389541,CHN,pig,2010,O,O/Mya98/JX/2010,Unknown,Unknown
797,MK940253,SAU,cattle,2017,A,Unknown,Saudi Arabia/Alkharj1/2017,tongue tissue
798,MN062587,PAK,cattle,2009,A,A/SIN/PAK/L693/2009,Unknown,Unknown
799,MN062586,AFG,cattle,2009,A,A/BAD/AFG/L2813/2009,Unknown,Unknown
800,MN062585,TUR,cattle,2010,O,O/TUR/1112/2010,Unknown,Unknown
801,MN062584,PAK,cattle,2009,O,O/NWF/PAK/L1417/2009,Unknown,Unknown
802,MN062583,PAK,cattle,2009,O,O/ISL/PAK/L1412/2009,Unknown,Unknown
803,MN062582,PAK,buffalo,2009,O,O/PUN/PAK/L1370/2009,Unknown,Unknown
804,MN062581,PAK,cattle,2008,O,O/PUN/PAK/L1358/2009,Unknown,Unknown
805,MN062580,IRN,cattle,2010,O,O/KHO/IRN/L5/2010,Unknown,Unknown
806,MN062579,IRN,cattle,2010,O,O/KHO/IRN/L1/2010,Unknown,Unknown
807,MN062578,AFG,Unknown,Unknown,O,O/KAB/AFG/LI-709/2009,Unknown,Rescued from O/KAB/AFG/L2826/2009
808,LC483874,THA,cow,2007,A,SEA-97,Unknown,Unknown
809,MK088170,BGD,cattle,2016,O,Unknown,BAN/TA/Dh-301/2016,tongue epithelium
810,MN250318,VNM,pig,2019,O/CATHAY,Unknown,O/VIT/19-005/2019,Unknown
811,MN250317,VNM,pig,2018,O/CATHAY,Unknown,O/VIT/18CD-1610.2/2018,Unknown
812,MN250316,VNM,pig,2018,O/CATHAY,Unknown,O/VIT/18-5490/2018,Unknown
813,MN250315,VNM,pig,2018,O/CATHAY,Unknown,O/VIT/18-3766/2018,Unknown
814,MN250314,VNM,pig,2017,O/CATHAY,Unknown,O/VIT/17-19073/2017,Unknown
815,MN275121,CMR,cow,2016,Unknown,Unknown,SAT1/CAR/2186/2016,Unknown
816,MN275120,CMR,cow,2016,Unknown,Unknown,SAT1/CAR/2101/2016,Unknown
817,MN275119,CMR,cow,2016,Unknown,Unknown,SAT1/CAR/171/2016,Unknown
818,MN275118,CMR,cow,2016,Unknown,Unknown,SAT1/CAR/154/2016,Unknown
819,MN116688,KEN,cow,2016,Unknown,KEN/K74/2016,Unknown,Unknown
820,MN103523,NER,cow,2014,SAT2,Unknown,SAT2/NIG/1/14,epithelial
821,MN116694,KEN,cow,2016,Unknown,Unknown,O/KEN/K19/2016,Unknown
822,MN116693,KEN,cow,2014,Unknown,Unknown,O/KEN/K60/2014,Unknown
823,MN116692,KEN,cow,2014,Unknown,Unknown,SAT2/KEN/K137/2014,Unknown
824,MN116691,KEN,cow,2016,Unknown,Unknown,SAT1/KEN/K75/2016,Unknown
825,MN116690,KEN,cow,2014,Unknown,Unknown,SAT1/KEN/K29/2014,Unknown
826,MN116689,KEN,cow,2014,Unknown,Unknown,SAT1/KEN/K14/2014,Unknown
827,MN095371,IND,cattle,2014,Unknown,Unknown,O/IND/C12230/2014,Unknown
828,MN095370,IND,cattle,2014,Unknown,Unknown,O/IND/C6684/2014,Unknown
829,MN095369,IND,cattle,2014,Unknown,Unknown,O/IND/C6673/2014,Unknown
830,MN095368,IND,cattle,2014,Unknown,Unknown,O/IND/C5660/2014,Unknown
831,MN095367,IND,cattle,2014,Unknown,Unknown,O/IND/C5630/2014,Unknown
832,MN095366,IND,cattle,2014,Unknown,Unknown,O/IND/C421/2014,Unknown
833,MN095365,IND,cattle,2014,Unknown,Unknown,O/IND/32(73)/2014,Unknown
834,MN095364,IND,cattle,2014,Unknown,Unknown,O/IND/32(69)/2014,Unknown
835,MN095363,IND,cattle,2013,Unknown,Unknown,O/IND/MUK567/2013,Unknown
836,MN095362,IND,cattle,2013,Unknown,Unknown,O/IND/MUK564/2013,Unknown
837,MN095361,IND,cattle,2013,Unknown,Unknown,O/IND/MUK561/2013,Unknown
838,MN095360,IND,cattle,2013,Unknown,Unknown,O/IND/MUK456/2013,Unknown
839,MN095359,IND,cattle,2013,Unknown,Unknown,O/IND/MUK359/2013,Unknown
840,MN095358,IND,cattle,2013,Unknown,Unknown,O/IND/MUK307/2013,Unknown
841,MN095357,IND,cattle,2013,Unknown,Unknown,O/IND/349(740)/2013,Unknown
842,MN095356,IND,cattle,2013,Unknown,Unknown,O/IND/349(735)/2013,Unknown
843,MN095355,IND,cattle,2013,Unknown,Unknown,O/IND/424(891)/2013,Unknown
844,MN095354,IND,cattle,2013,Unknown,Unknown,O/IND/394(826)/2013,Unknown
845,LC485149,Unknown,goat,Unknown,Unknown,O/JPN/2010-1/14c (GNa),Unknown,RNA was extracted from a nasal swab sample of goat which was contacted with pigs experimentally inoculated with O/JPN/2010-1/14c (BK1BHK2).
846,LC485148,Unknown,goat,Unknown,Unknown,O/JPN/2010-1/14c (GSe),Unknown,RNA was extracted from a serum sample of goat which was contacted with pigs experimentally inoculated with O/JPN/2010-1/14c (BK1BHK2).
847,LC485147,Unknown,pig,Unknown,Unknown,O/JPN/2010-1/14c (SV2_d1),Unknown,RNA was extracted from a vesicular sample from a swine which was experimentally inoculated with O/JPN/2010-1/14c (BK1BHK2).
848,LC485146,Unknown,pig,Unknown,Unknown,O/JPN/2010-1/14c (SV_d1),Unknown,RNA was extracted from a vesicular sample from a swine which was experimentally inoculated with O/JPN/2010-1/14c (BK1BHK2).
849,LC485145,Unknown,pig,Unknown,Unknown,O/JPN/2010-1/14c (SV_d6),Unknown,RNA was extracted from a vesicular sample of a pig which was contacted with a cow experimentally inoculated with O/JPN/2010-1/14c (BK1BHK2).
850,LC485144,Unknown,cow,Unknown,Unknown,O/JPN/2010-1/14c (SV_d3),Unknown,RNA was extracted from a vesicular sample of a pig which was contacted with a cow experimentally inoculated with O/JPN/2010-1/14c (BK1BHK2).
851,LC485143,Unknown,cow,Unknown,Unknown,O/JPN/2010-1/14c (CV2_d1),Unknown,RNA was extracted from vesicular sample from cattle which was experimentally inoculated with O/JPN/2010-1/14c (BK1BHK2).
852,LC485142,Unknown,cow,Unknown,Unknown,O/JPN/2010-1/14c (CV_d1),Unknown,RNA was extracted from vesicular sample from cattle which was experimentally inoculated with O/JPN/2010-1/14c (BK1BHK2).
853,NC_039210,GBR,Unknown,Unknown,O,O6,o6pirbright iso58,Unknown
854,LC456873,GHA,cow,2018,O,O/GHA/Asu/12/2018,Unknown,Unknown
855,LC456872,GHA,cow,2018,O,O/GHA/Asu/11/2018,Unknown,Unknown
856,LC456871,GHA,cow,2018,O,O/GHA/Asu/10/2018,Unknown,Unknown
857,LC456870,GHA,cow,2018,O,O/GHA/Asu/9/2018,Unknown,Unknown
858,MK088171,BGD,cattle,2016,A,Unknown,BAN/CH/Sa-304/2016,tongue epithelium
859,MK071699,BGD,cattle,2013,O,Unknown,BAN/BO/Na-161/2013,tongue epithelium
860,LC438823,MMR,cow,2016,O,O/MYA/Yan/5/2016,Unknown,Unknown
861,LC438822,MMR,cow,2016,O,O/MYA/Yan/3/2016,Unknown,Unknown
862,MH845413,VNM,pig,2014,O,O/VN1/2014,Unknown,Unknown
863,MF947143,VNM,cattle,2013,Unknown,Unknown,O/VIT/106131/2013,Unknown
864,MF947142,VNM,cattle,2013,Unknown,Unknown,O/VIT/10895KV1/2013,Unknown
865,MF947141,VNM,pig,2012,Unknown,Unknown,O/VIT/3910/2012,Unknown
866,MF947140,VNM,cattle,2010,Unknown,Unknown,O/VIT/217/2010,Unknown
867,MF947137,VNM,buffalo,2012,Unknown,Unknown,O/VIT/49/2012_pro,Unknown
868,MF947132,VNM,buffalo,2015,Unknown,Unknown,O/VIT/16456/2015,Unknown
869,MF947131,VNM,pig,2013,Unknown,Unknown,O/VIT/11965/2013,Unknown
870,MF947130,VNM,cattle,2014,Unknown,Unknown,O/VIT/11381/2014,Unknown
871,MF947129,VNM,pig,2014,Unknown,Unknown,O/VIT/10894/2014,Unknown
872,MF947128,VNM,cattle,2010,Unknown,Unknown,O/VIT/7223/2010,Unknown
873,MF947127,VNM,buffalo,2012,Unknown,Unknown,O/VIT/2012/Buff(V-BU1)/Phar(A),Unknown
874,MF947126,VNM,pig,2011,Unknown,Unknown,O/VIT/1677/2011,Unknown
875,MF947124,VNM,cattle,2012,Unknown,Unknown,O/VIT/30/2012,Unknown
876,MF947123,VNM,buffalo,2011,Unknown,Unknown,O/VIT/20/2011,Unknown
877,MH891503,VNM,cow,2017,Unknown,O/VIT/8338/2017,Unknown,Unknown
878,MH784405,PAK,cattle,2017,O,Unknown,PAK/14/2017,Unknown
879,MH784404,PAK,water-buffalo,2017,O,Unknown,PAK/4/2017,Unknown
880,MH784403,PAK,cattle,2016,O,Unknown,PAK/10/2016,Unknown
881,MG983741,VNM,cattle,2016,O,Unknown,VIT/20/2016,Unknown
882,MG983740,VNM,cattle,2015,O,Unknown,VIT/8/2015,Unknown
883,MG983739,ARE,cattle,2016,O,Unknown,UAE/3/2016,Unknown
884,MG983738,ARE,cattle,2016,O,Unknown,UAE/1/2016,Unknown
885,MG983737,ARE,gazelle,2014,O,Unknown,UAE/2/2014,Unknown
886,MG983736,ARE,gazelle,2014,O,Unknown,UAE/1/2014,Unknown
887,MG983735,TUN,unknown,2014,O,Unknown,TUN/1/2014,Unknown
888,MG983734,LKA,water-buffalo,2014,O,Unknown,SRL/30/2014,Unknown
889,MG983733,LKA,cattle,2014,O,Unknown,SRL/28/2014,Unknown
890,MG983732,LKA,cattle,2014,O,Unknown,SRL/1/2014,Unknown
891,MG983731,LKA,cattle,2013,O,Unknown,SRL/1/2013,Unknown
892,MG983730,KOR,cattle,2017,O,Unknown,SKR/1/2017,Unknown
893,MG983729,SAU,cattle,2016,O,Unknown,SAU/2/2016,Unknown
894,MG983728,SAU,cattle,2016,O,Unknown,SAU/1/2016,Unknown
895,MG983727,SAU,cattle,2015,O,Unknown,SAU/20/2015,Unknown
896,MG983726,SAU,cattle,2014,O,Unknown,SAU/4/2014,Unknown
897,MG983725,SAU,cattle,2014,O,Unknown,SAU/1/2014,Unknown
898,MG983724,SAU,cattle,2013,O,Unknown,SAU/7/2013,Unknown
899,MG983723,SAU,cattle,2013,O,Unknown,SAU/6/2013,Unknown
900,MG983722,SAU,cattle,2013,O,Unknown,SAU/4/2013,Unknown
901,MG983721,SAU,cattle,2013,O,Unknown,SAU/1/2013,Unknown
902,MG983720,RUS,cattle,2016,O,Unknown,Zabaikalskiy/1/RUS/2016,Unknown
903,MG983719,NPL,cattle,2015,O,Unknown,NEP/21/2015,Unknown
904,MG983718,NPL,cattle,2015,O,Unknown,NEP/10/2015,Unknown
905,MG983717,NPL,cattle,2015,O,Unknown,NEP/3/2015,Unknown
906,MG983716,NPL,cattle,2014,O,Unknown,NEP/6/2014,Unknown
907,MG983715,NPL,cattle,2014,O,Unknown,NEP/1/2014,Unknown
908,MG983714,NPL,pig,2013,O,Unknown,NEP/18/2013,Unknown
909,MG983713,NPL,cattle,2013,O,Unknown,NEP/17/2013,Unknown
910,MG983712,NPL,cattle,2013,O,Unknown,NEP/16/2013,Unknown
911,MG983711,NPL,cattle,2013,O,Unknown,NEP/6/2013,Unknown
912,MG983710,NPL,water-buffalo,2012,O,Unknown,NEP/21/2012,Unknown
913,MG983709,NPL,cattle,2012,O,Unknown,NEP/13/2012,Unknown
914,MG983708,NPL,cattle,2012,O,Unknown,NEP/10/2012,Unknown
915,MG983707,NPL,water-buffalo,2012,O,Unknown,NEP/6/2012,Unknown
916,MG983706,NPL,cattle,2010,O,Unknown,NEP/9/2010,Unknown
917,MG983705,NPL,cattle,2010,O,Unknown,NEP/7/2010,Unknown
918,MG983704,NPL,cattle,2008,O,Unknown,NEP/5/2008,Unknown
919,MG983703,MMR,cattle,2016,O,Unknown,MYA/3/2016,Unknown
920,MG983702,MUS,cattle,2016,O,Unknown,MUR/23/2016,Unknown
921,MG983701,MUS,cattle,2016,O,Unknown,MUR/21/2016,Unknown
922,MG983700,MUS,cattle,2016,O,Unknown,MUR/19/2016,Unknown
923,MG983699,MUS,cattle,2016,O,Unknown,MUR/9/2016,Unknown
924,MG983698,MUS,cattle,2016,O,Unknown,MUR/5/2016,Unknown
925,MG983697,LBY,cattle,2013,O,Unknown,LIB/22/2013,Unknown
926,MG983696,LBY,cattle,2013,O,Unknown,LIB/17/2013,Unknown
927,MG983695,LBY,cattle,2013,O,Unknown,LIB/7/2013,Unknown
928,MG983694,LBY,cattle,2013,O,Unknown,LIB/1/2013,Unknown
929,MG983693,LAO,unknown,2015,O,Unknown,LAO/2/2015,Unknown
930,MG983692,IRN,cattle,2009,O,Unknown,IRN/72/2009,Unknown
931,MG983691,BTN,cattle,2016,O,Unknown,BHU/9/2016,Unknown
932,MG983690,BTN,cattle,2016,O,Unknown,BHU/3/2016,Unknown
933,MG983689,BTN,cattle,2012,O,Unknown,BHU/12/2012,Unknown
934,MG983688,BTN,cattle,2009,O,Unknown,BHU/40/2009,Unknown
935,MG983687,BTN,cattle,2009,O,Unknown,BHU/2/2009,Unknown
936,MG983686,BHR,cattle,2015,O,Unknown,BAR/15/2015,Unknown
937,MG983685,BHR,cattle,2015,O,Unknown,BAR/2/2015,Unknown
938,MG983684,BGD,cattle,2009,O,Unknown,BAN/1/2009,Unknown
939,MG983683,DZA,unknown,2014,O,Unknown,ALG/1/2014,Unknown
940,MG923580,DZA,cattle,2017,A,Unknown,A/ALG/3/2017,tongue epithelium
941,MG923579,DZA,cattle,2017,A,Unknown,A/ALG/2/2017,tongue epithelium
942,MG923578,DZA,cattle,2017,A,Unknown,A/ALG/1/2017,tongue epithelium
943,MG913340,DZA,cattle,2017,A,Unknown,ALG/1/2017,Unknown
944,MG372732,Unknown,Unknown,Unknown,C,Unknown,C1 OBERBAYERN,Unknown
945,MG372731,Unknown,Unknown,Unknown,Asia 1,Unknown,TBD,Unknown
946,MG372730,KOR,Unknown,2000,O,Unknown,O1 S. Korea 2000,Unknown
947,MG372729,Unknown,Unknown,Unknown,C,Unknown,C3 INDAIAL,Unknown
948,MG372728,Unknown,Unknown,Unknown,O,Unknown,O PENGHU,Unknown
949,MG372727,ZAF,Unknown,Unknown,SAT 3,Unknown,SAT 3/2 S. Africa,Unknown
950,MF372126,IND,gayal,1994,Asia1,Unknown,IND281/1994,Unknown
951,MF372125,IND,gayal,2016,Asia1,Unknown,IND4/2016,Unknown
952,MF461724,CHN,cattle,2017,Unknown,Unknown,O/XJ/CHA/2017,Unknown
953,KY234502,CHN,pig,2015,O,O/GD/CHA/2015,Unknown,Unknown
954,KY234501,CHN,cow,2011,O,O/CHA/7/2011,Unknown,Unknown
955,MH053352,ZWE,african-buffalo,1990,SAT3,Unknown,ZIM/P27/90 (DSA-31),Unknown
956,MH053351,ZWE,cattle,1984,SAT3,Unknown,ZIM/2/84,Unknown
957,MH053350,ZWE,african-buffalo,1983,SAT3,Unknown,ZIM/P6/83 (WN-19),Unknown
958,MH053349,ZWE,african-buffalo,1983,SAT3,Unknown,ZIM/P6/83 (WN-16),Unknown
959,MH053348,ZWE,cattle,1977,SAT3,Unknown,RHO/11/77,Unknown
960,MH053347,ZWE,cattle,1976,SAT3,Unknown,RHO/23/76,Unknown
961,MH053346,ZWE,cattle,1976,SAT3,Unknown,RHO/16/76,Unknown
962,MH053345,ZWE,cattle,1975,SAT3,Unknown,RHO/5/75,Unknown
963,MH053344,ZWE,cattle,1974,SAT3,Unknown,RHO/7/74,Unknown
964,MH053343,ZWE,cattle,1934,SAT3,Unknown,RV/7/34,Unknown
965,MH053342,ZMB,african-buffalo,1996,SAT3,Unknown,ZAM/P2/96 (NAN-11),Unknown
966,MH053341,UGA,african-buffalo,1970,SAT3,Unknown,UGA-BUFF/27/70,Unknown
967,MH053340,MWI,cattle,1976,SAT3,Unknown,MAL/3/76,Unknown
968,MH053339,BWA,african-buffalo,1970,SAT3,Unknown,BOT-BUFF/13/70,Unknown
969,MH053338,BWA,cattle,1966,SAT3,Unknown,BOT/109/66,Unknown
970,MH053337,UGA,african-buffalo,1970,SAT2,Unknown,UGA-BUFF/24/70,Unknown
971,MH053336,UGA,african-buffalo,1970,SAT2,Unknown,UGA-BUFF/12/70,Unknown
972,MH053335,ZWE,cattle,1965,SAT2,Unknown,SRHO/1/65,Unknown
973,MH053334,ZMB,cattle,1964,SAT2,Unknown,NR/1/64,Unknown
974,MH053333,ETH,cattle,1989,SAT2,Unknown,ETH/1/90,Unknown
975,MH053332,BWA,african-buffalo,1974,SAT2,Unknown,BOT-BUFF/170/74,Unknown
976,MH053331,BWA,african-buffalo,1972,SAT2,Unknown,BOT-BUFF/107/72,Unknown
977,MH053330,BWA,african-buffalo,1969,SAT2,Unknown,BOT-BUFF/17/69,Unknown
978,MH053329,BWA,african-buffalo,1969,SAT2,Unknown,BOT-BUFF/2/69,Unknown
979,MH053328,BWA,african-buffalo,1968,SAT2,Unknown,BOT-BUFF/2/68,Unknown
980,MH053327,UGA,african-buffalo,1970,SAT1,Unknown,UGA-BUFF/21/70,Unknown
981,MH053326,UGA,african-buffalo,1970,SAT1,Unknown,UGA-BUFF/10/70,Unknown
982,MH053325,UGA,cattle,1978,SAT1,Unknown,UGA/6/78,Unknown
983,MH053324,UGA,cattle,1971,SAT1,Unknown,UGA/47/71,Unknown
984,MH053323,TCD,cattle,1972,SAT1,Unknown,TCH/1/72,Unknown
985,MH053322,NAM,african-buffalo,1989,SAT1,Unknown,SWA/2/89,Unknown
986,MH053321,MOZ,cattle,1981,SAT1,Unknown,MOZ/5/81,Unknown
987,MH053320,KEN,cattle,1983,SAT1,Unknown,K303/83,Unknown
988,MH053319,BWA,african-buffalo,1974,SAT1,Unknown,BOT-BUFF/62/74,Unknown
989,MH053318,UGA,unknown,2002,O,Unknown,UGA/3/2002,Unknown
990,MH053317,UGA,unknown,1998,O,Unknown,UGA/17/98,Unknown
991,MH053316,UGA,cattle,1996,O,Unknown,UGA/5/96,Unknown
992,MH053315,SDN,unknown,1976,O,Unknown,SUD/1/76,Unknown
993,MH053314,ETH,cattle,2007,O,Unknown,ETH/1/2007,Unknown
994,MH053313,ETH,cattle,2006,O,Unknown,ETH/2/2006,Unknown
995,MH053312,ETH,cattle,2005,O,Unknown,ETH/58/2005,Unknown
996,MH053311,ETH,cattle,2004,O,Unknown,ETH/3/2004,Unknown
997,MH053310,UGA,cattle,1970,C,Unknown,UGA/18/70,Unknown
998,MH053309,KEN,cattle,1967,C,Unknown,KEN/32/70 (K267/67),Unknown
999,MH053308,ETH,unknown,1971,C,Unknown,ETH/1/71,Unknown
1000,MH053307,ZMB,cattle,1990,A,Unknown,Zambia/90,Unknown
1001,MH053306,TCD,cattle,1973,A,Unknown,TCH/2/73,Unknown
1002,MH053305,EGY,cattle,1972,A,Unknown,EGY/1/72,Unknown
1003,MG725876,NER,cow,2015,A,Unknown,A/NIG/6/15,tongue epithelium
1004,MG725875,NER,cow,2015,A,Unknown,A/NIG/5/15,tongue epithelium
1005,MG725874,NER,cow,2015,A,Unknown,A/NIG/3/15,tongue epithelium
1006,MG725873,NER,cow,2015,A,Unknown,A/NIG/1/15,tongue epithelium
1007,MG725872,NER,cow,2013,A,Unknown,A/NIG/1/13,tongue epithelium
1008,LC320038,MNG,cow,2015,O,O/MOG/BU/2-7/2015,Unknown,Unknown
1009,MF782478,BGD,cattle,2013,Asia 1,Unknown,BAN/TA/Ma-167/2013,tongue epithelium
1010,MF678826,NER,cow,2015,SAT1,Unknown,SAT1/NIG/4/15,Unknown
1011,MF678825,NER,cow,2015,SAT1,Unknown,SAT1/NIG/3/15,Unknown
1012,MF678824,NER,cow,2015,SAT1,Unknown,SAT1/NIG/2/15,Unknown
1013,MF678823,NER,cow,2015,SAT1,Unknown,SAT1/NIG/1/15,Unknown
1014,KY404935,ARG,Unknown,Unknown,A,A/Arg/01,A01NL,Unknown
1015,KY404934,ARG,Unknown,Unknown,A,A/Arg/01,A01L,Unknown
1016,MF143578,VNM,cattle,2013,Unknown,Unknown,O/VIT/433/2013_pro,Unknown
1017,MF143577,VNM,cattle,2013,Unknown,Unknown,O/VIT/431/2013_pro,Unknown
1018,MF143576,VNM,cattle,2013,Unknown,Unknown,O/VIT/428/2013_pro,Unknown
1019,MF143575,VNM,cattle,2012,Unknown,Unknown,O/VIT/414/2012_pro,Unknown
1020,MF143574,VNM,cattle,2012,Unknown,Unknown,O/VIT/407/2012_pro,Unknown
1021,MF143573,VNM,cattle,2012,Unknown,Unknown,O/VIT/383/2012_pro,Unknown
1022,MF143572,VNM,cattle,2012,Unknown,Unknown,O/VIT/366/2012_pro,Unknown
1023,KX534089,KOR,pig,2016,O,O/SKR/GJ/2016,Unknown,Unknown
1024,KY825724,ZWE,Unknown,1991,SAT2,Unknown,SAT2/ZIM/11/91,Unknown
1025,KY825723,MNG,Unknown,2010,O,Unknown,O/MOG/7/2010,Unknown
1026,KY825722,CHE,Unknown,1965,C,Unknown,C1/Noville/SWI/65,Unknown
1027,KY825721,HKG,Unknown,2005,Asia1,Unknown,Asia1/HKN/5/2005,Unknown
1028,KY825720,EGY,Unknown,2014,SAT2,Unknown,SAT2/EGY/24/2014,Unknown
1029,KY825719,TUR,Unknown,1969,O,Unknown,O1/Manisa/TUR/69,Unknown
1030,KY825718,ISR,Unknown,1989,Asia1,Unknown,Asia1/Shamir/ISR/89,Unknown
1031,KY825717,IRQ,Unknown,1964,A,Unknown,A22/IRQ/24/64,Unknown
1032,KY072818,CHN,cattle,1959,O,Unknown,YNTBa,Unknown
1033,LC149720,JPN,pig,2010,O,O/JPN/2010-362/3,Unknown,Unknown
1034,LC149719,JPN,cow,2010,O,O/JPN/2010-354/3,Unknown,Unknown
1035,LC149718,JPN,cow,2010,O,O/JPN/2010-351/1S,Unknown,Unknown
1036,LC149717,JPN,cow,2010,O,O/JPN/2010-324/3,Unknown,Unknown
1037,LC149716,JPN,cow,2010,O,O/JPN/2010-290/1S,Unknown,Unknown
1038,LC149715,JPN,cow,2010,O,O/JPN/2010-253/2S,Unknown,Unknown
1039,LC149714,JPN,cow,2010,O,O/JPN/2010-247/3S,Unknown,Unknown
1040,LC149713,JPN,cow,2010,O,O/JPN/2010-244/3S,Unknown,Unknown
1041,LC149712,JPN,cow,2010,O,O/JPN/2010-216/3S,Unknown,Unknown
1042,LC149711,JPN,cow,2010,O,O/JPN/2010-202/3S,Unknown,Unknown
1043,LC149710,JPN,cow,2010,O,O/JPN/2010-201/1S,Unknown,Unknown
1044,LC149709,JPN,cow,2010,O,O/JPN/2010-200/3S,Unknown,Unknown
1045,LC149708,JPN,cow,2010,O,O/JPN/2010-199/3S,Unknown,Unknown
1046,LC149707,JPN,cow,2010,O,O/JPN/2010-198/2S,Unknown,Unknown
1047,LC149706,JPN,cow,2010,O,O/JPN/2010-196/3S,Unknown,Unknown
1048,LC149705,JPN,cow,2010,O,O/JPN/2010-195/3S,Unknown,Unknown
1049,LC149704,JPN,cow,2010,O,O/JPN/2010-194/3S,Unknown,Unknown
1050,LC149703,JPN,cow,2010,O,O/JPN/2010-188/2S,Unknown,Unknown
1051,LC149702,JPN,pig,2010,O,O/JPN/2010-180/3S,Unknown,Unknown
1052,LC149701,JPN,pig,2010,O,O/JPN/2010-174/1S,Unknown,Unknown
1053,LC149700,JPN,cow,2010,O,O/JPN/2010-173/3S,Unknown,Unknown
1054,LC149699,JPN,cow,2010,O,O/JPN/2010-172/1S,Unknown,Unknown
1055,LC149698,JPN,cow,2010,O,O/JPN/2010-171/2S,Unknown,Unknown
1056,LC149697,JPN,pig,2010,O,O/JPN/2010-169/1S,Unknown,Unknown
1057,LC149696,JPN,cow,2010,O,O/JPN/2010-168/3S,Unknown,Unknown
1058,LC149695,JPN,cow,2010,O,O/JPN/2010-165/2S,Unknown,Unknown
1059,LC149694,JPN,cow,2010,O,O/JPN/2010-163/3S,Unknown,Unknown
1060,LC149693,JPN,cow,2010,O,O/JPN/2010-159/3S,Unknown,Unknown
1061,LC149692,JPN,pig,2010,O,O/JPN/2010-157/3S,Unknown,Unknown
1062,LC149691,JPN,pig,2010,O,O/JPN/2010-152/2S,Unknown,Unknown
1063,LC149690,JPN,pig,2010,O,O/JPN/2010-151/1S,Unknown,Unknown
1064,LC149689,JPN,cow,2010,O,O/JPN/2010-148/3S,Unknown,Unknown
1065,LC149688,JPN,pig,2010,O,O/JPN/2010-146/3S,Unknown,Unknown
1066,LC149687,JPN,cow,2010,O,O/JPN/2010-145/5S,Unknown,Unknown
1067,LC149686,JPN,cow,2010,O,O/JPN/2010-144/2S,Unknown,Unknown
1068,LC149685,JPN,cow,2010,O,O/JPN/2010-142/1S,Unknown,Unknown
1069,LC149684,JPN,pig,2010,O,O/JPN/2010-141/3S,Unknown,Unknown
1070,LC149683,JPN,cow,2010,O,O/JPN/2010-140/1S,Unknown,Unknown
1071,LC149682,JPN,cow,2010,O,O/JPN/2010-138/3S,Unknown,Unknown
1072,LC149681,JPN,cow,2010,O,O/JPN/2010-137/3S,Unknown,Unknown
1073,LC149680,JPN,cow,2010,O,O/JPN/2010-135/1S,Unknown,Unknown
